genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
SCGB1A1,hsa-miR-542-5p,hsa-miR-4787-3p,hsa-miR-342-5p,RP5-827E24.1,ARMC3,hsa-miR-4787-3p,CTB-41I6.1,DAW1
CGB7,hsa-miR-1537-5p,hsa-miR-342-5p,hsa-miR-5586-5p,SNTG2,CERS1,hsa-miR-4732-3p,RP1-29C18.9,CLVS2
HOXC11,hsa-miR-628-3p,hsa-miR-223-3p,hsa-miR-4732-3p,ZIC1,KRTAP5-5,hsa-miR-342-5p,LINC01272,FHDC1
CTXN2,hsa-miR-505-3p,hsa-miR-1258,hsa-miR-124-3p,RP11-400G3.5,hsa-miR-342-5p,hsa-miR-766-3p,CTB-43E15.1,MAS1
TNFRSF13B,hsa-miR-4632-3p,hsa-miR-4732-3p,hsa-miR-1258,UGT2B17,CNTNAP4,hsa-miR-1258,CTB-138E5.1,GDF7
TMEM92,hsa-miR-1292-5p,hsa-miR-5586-5p,hsa-miR-342-3p,LYVE1,PIGR,hsa-miR-223-3p,DSG1-AS1,KLK5
LYL1,hsa-miR-95-3p,hsa-miR-766-3p,hsa-miR-618,MCEMP1,TFF1,hsa-miR-5586-5p,RP11-203E8.1,PAX6
SLC5A10,hsa-miR-155-5p,hsa-miR-342-3p,hsa-miR-223-3p,TM4SF19,ITGAL,hsa-miR-342-3p,STEAP2-AS1,SOST
SLC17A6,hsa-miR-423-3p,hsa-miR-146a-5p,RP11-304F15.4,SRRM4,LINC01050,hsa-miR-146a-5p,RP11-345L23.1,SP5
TRNP1,hsa-miR-4726-5p,hsa-miR-618,UBD,HAVCR1,CDHR1,hsa-miR-618,RP11-229P13.19,MS4A3
TAC3,hsa-miR-497-3p,hsa-miR-4662a-5p,EFHC2,UBE2QL1,TSPAN8,hsa-miR-32-5p,RP1-283K11.2,RP11-713N11.4
KCNJ3,hsa-miR-4668-3p,CTXN2,PGA3,SLC5A12,SLC7A14,hsa-miR-124-3p,RP11-370I10.10,hsa-miR-137
SCIMP,hsa-miR-766-3p,hsa-miR-124-3p,GYPE,TMC7,GABRA3,hsa-miR-4662a-5p,TRMT2B-AS1,MPEG1
SMIM22,hsa-miR-22-5p,CGB7,RP5-907C10.4,SLPI,SNX10,hsa-miR-767-5p,CTD-2313F11.1,AC104024.2
TGFB3,GKN2,SCGB1A1,SNX22,SPRR1A,RASAL1,hsa-miR-4668-3p,CTD-2528A14.5,CRYAB
AP006285.3,hsa-miR-5586-5p,TMEM92,SERPINA5,SLC6A4,PSG5,hsa-miR-206,LINC01508,GDNF
HAO1,hsa-miR-19b-3p,hsa-miR-32-5p,C1QC,TPRXL,RP11-400N9.1,hsa-miR-19b-3p,GPC5-IT1,VSTM2L
